,78660,78666,78641,78613,78745,78664,78640,78753,78681,78741,78704,78744,78758,78665,78748,78759,78610,78626,78628,78723,78749,78634,78717,78750,78705,78746,78727,78602,78633,78653,78731,78729,78724,78757,78754,78617,78702,78703,78728,78739,78752,78644,78621,76574,78735,78734,78747,78738,78737,78620,78751,78732,78676,78642,78730,78612,78721,78726,78733,78645,78616,78756,78701,78669,78957,78736,78648,78725,78652,78722,76537,78619,78659,78655,76527,78662,78719,78650,76530,78615,78953,78656,76578,78632,78622,78661
2000-12-31,185186.96813974535,,209738.9865593691,211526.9596997803,160233.87369811235,157700.12812320786,,135076.81202233105,,135671.42769413543,268188.2888474029,105282.64403167274,156392.9644012861,,188312.06672079363,317250.6999402042,171935.85339179798,,,148171.88498005856,277088.00741419406,,,297876.34915757907,,572158.213642805,202983.3527784464,127037.75543321345,,148832.92057570757,428466.0576849082,196844.7102102153,104178.10111344676,275543.41495290125,174290.22600060666,142252.95870589174,,591968.2177118869,198492.2582862893,365504.02379377634,149736.5856472101,,106130.16395672689,,371276.5717309094,274612.51884144376,199494.08557003783,355934.0759588421,264380.0639409611,204615.62765294235,274061.0762245104,400432.1189725516,,,586623.2429887227,124557.8341659342,123900.68103327233,327714.878601664,419208.202379033,178266.1130239494,85892.78625172631,309387.314257526,119175.71378258316,238793.22758016625,101927.59980962424,196526.9692487669,,103598.60640410178,191219.54802757985,,,,137507.0922431019,,,105106.09000984216,,119915.44688086316,,,,,,,,
2001-01-31,185560.1059595359,,211508.9649319663,212953.0047023336,160849.78328337727,157938.21015700823,,135574.2796253291,,135609.02454054545,269609.52871505584,106010.07189079118,157272.20351029967,,188446.3242572553,318152.84362981265,171230.25057258186,,,145641.64311304784,277590.80640595214,,,298762.7964830374,,572340.0536842,203487.02217731407,128131.5689723767,,148555.40786620462,426649.2579726128,197377.37864742512,104270.20378317629,273567.99466084107,174732.90915962824,142155.1454134005,,597141.4424035717,199297.3516810299,365594.53406842606,147971.93368178175,,106965.18104970752,,374481.71651185234,276295.66278215003,200440.0605458756,356583.1907028886,265022.76732393244,206473.79318435144,276263.65728932346,401918.2994265629,,,589745.169044578,125213.86054431224,122923.91469477706,330204.0636272367,421036.73648113135,178702.34643290463,85703.93085329152,310403.6395670824,119432.0122579462,239733.5935803094,102537.02351570156,196083.5024697507,,103996.02103680886,194109.1052276381,,,,137926.5694788524,,,105126.32107660444,,120224.85984743132,,,,,,,,
2001-02-28,185803.93908607375,,212663.7835920415,213256.7021507117,160704.65377659595,158074.1301696503,,136107.32716862694,,135795.3015916785,270774.3391501615,106744.95875944418,157919.75310579225,,188473.119769344,318768.7303747291,169893.50767399892,,,144530.3056360994,277602.553376775,,,298632.28667146515,,574202.7914661121,203619.63078653347,128757.02509914809,,147999.81042609524,426413.497485769,197465.7061295345,104397.1106087172,269198.4844905478,175134.03560930016,141943.6107619131,,602387.3562894524,199898.4913828735,365716.4516154879,147015.79776427092,,107687.81870626828,,375408.4277489812,277608.87785343826,201061.03293079548,356796.1652328474,266126.9955127929,207907.9085662996,277052.2250436291,402662.3356875928,,,592598.9812653176,125841.88196196912,122048.7822850806,331993.3663860048,421868.3774542376,178958.01829887988,84618.89561158502,309971.50959098927,119699.04672887642,240209.9949292322,102831.5860022003,196223.8693676615,,104414.67189194524,195739.00611319672,,,,137812.37128639006,,,105355.31426463758,,120410.93006289242,,,,,,,,
2001-03-31,186049.92391115605,,213583.445031352,214183.9750224461,161503.1757669983,158283.29853518607,,136550.09221734197,,136215.1385165048,273955.9132769269,107394.00549073362,158453.47191994806,,189207.14421588657,318966.4051696197,168603.60105789595,,,146458.12853200783,277348.3761039051,,,298184.6099974666,,577136.1568557556,204091.85684064645,129386.236479992,,148091.65285035325,426530.26060688175,197741.9948454264,104658.38727658305,265352.2484881295,175663.57503157793,142353.52531451237,,605167.2995212818,200232.8674042533,366457.7258921736,148584.46904052945,,108358.3466333751,,373610.6318754196,277830.6184997136,200894.61091213123,356989.3465294687,267265.3346732384,209247.03296104836,276034.99453186925,402936.1894694174,,,593547.6751500029,126375.08915672362,121199.02912037593,333211.1485799038,421749.72624441184,179121.60498239755,82652.58814134826,309583.2224266261,120172.35419895216,240342.68427682584,103030.39547145828,196204.8514246468,,104788.997937407,196193.647739202,,,,138151.01982765333,,,105304.58626421646,,120808.046720949,,,,,,,,
2001-04-30,186473.254683143,,214695.95324836785,215173.16107503933,161932.2072029761,158282.08683068329,,137142.36302655772,,137405.7149969627,278829.9889930702,108052.45571326862,159300.58168834352,,190298.22831902545,319445.2439349168,168025.58983340432,,,150017.43854505414,276927.5341060368,,,298808.3357836792,,581025.2387955218,204936.10650486057,130057.00286351598,,149187.77901395477,429182.0954205559,197632.34754135684,105180.00823418304,263486.8955705545,176515.06592371175,142783.8431301971,,607805.3425416806,200488.0323026672,367088.8461116257,152402.04730293126,,109021.70613852248,,372705.5454291825,277251.2806714774,200897.76233955123,357005.74886706145,267939.2875367657,209991.63955587623,275190.5830061981,403694.1682752981,,,593871.0224989097,127230.61553405214,121062.11313430998,333610.19042486465,421771.83372423,179469.76063813464,81235.9632121862,308432.1390815442,120078.78426658228,239700.5162932757,102972.42919813369,195627.8252680264,,105342.66645732283,195904.86739026557,,,,137926.3069148757,,,105300.86990192324,,120716.13690864092,,,,,,,,
2001-05-31,186853.74101117812,,215169.23655565453,215736.8937009177,162196.17300907336,158137.20103800306,,137813.11129170502,,138591.1409268817,283285.2068935917,108631.57261173827,160306.91527882192,,191496.4563475705,320100.1404754733,167857.87680224938,,,153504.02321873873,277028.10731650307,,,299631.63333785284,,582913.1530622706,205256.72613749967,130922.37052385106,,149838.60674144665,431848.5465110189,197567.9490275928,106031.24731405196,263782.8721533955,177564.71131986493,142814.28716698496,,608457.8988295678,200900.76195319163,367650.2730466607,156858.75572482974,,109677.70933908824,,372040.2041501818,275716.4840721624,200421.39228626923,357018.5332738722,268476.94036450714,210094.0359299396,275346.7162388123,404188.198941617,,,592243.9176905967,128394.75812529704,121133.25581715144,333607.98653911176,421725.4250836399,179419.2816268513,81784.67825740948,308227.0833275937,119815.47271773504,238481.14660551865,103030.67206223756,195606.55604954247,,106136.90377412183,194842.95910171524,,,,137909.52718490068,,,104836.98417795583,,120566.3954115697,,,,,,,,
2001-06-30,187240.2864140602,,215591.4708232598,215855.904334045,161875.29943618504,157966.95190498975,,138459.10919657588,,139480.11439436147,284423.688951191,109158.80333174026,160948.0644144429,,192371.0680251156,320522.0155201923,167293.70501941696,,,155467.94139312193,277582.46594656684,,,299239.8384326036,,583221.025469619,205383.8286523408,131761.79851536348,,150311.74463943098,434329.2690878757,197437.4744869592,106885.58677609498,265041.5973759925,178380.91761426485,141922.97632396765,,609462.1795722478,201379.8976659289,368253.72079993365,159701.50667487472,,110151.73176907023,,371646.89910946623,274407.5634625636,200206.40746920704,357128.6701515664,268351.73726166115,209792.3297687458,276008.3145420329,404886.3781674548,,,591431.3664432905,129594.75189209648,121601.04081512456,333637.3189770113,422999.63818930415,179294.44301475337,82532.95228145778,309259.90315347933,119035.87634015438,237529.9344397095,103223.06363200815,196219.96684879644,,106917.98921854836,193876.6329979965,,,,137870.382971402,,,105492.2319988284,,120654.76045779494,,,,,,,,
2001-07-31,187612.3998088172,,215357.2505755334,216126.81667234085,161711.61479983086,158124.18287657454,,138895.65068066568,,139536.72946240669,283936.2292810553,109720.47719833178,161178.5655764978,,192918.7183694114,321036.33994353213,167156.4655492381,,,155756.81642726375,278667.9753053815,,,298648.63636154914,,580982.4790484811,205397.18429378004,132448.63246063775,,150264.85635773008,434290.8160407034,197510.03005786333,107406.1208280369,267169.05628829653,179007.9349262317,140649.2640087049,,609547.6093567209,201944.642393421,369532.81890606345,160633.79401152724,,110395.4890132171,,371185.61882220645,274171.37278849905,199820.92436131916,358202.8093690626,268891.56890999136,209714.3600540761,276182.128047047,405430.86384110246,,,591157.0631412381,130462.41294299724,121740.03425808703,334007.57213349495,424491.68359454704,179144.22998617365,83332.22507313697,311230.7219617939,119063.6257026664,237198.445964393,103745.30934055184,197747.4660959445,,107556.01893669053,193406.5933735385,,,,138234.02822076317,,,106030.80685083495,,121296.309686711,,,,,,,,
2001-08-31,188024.21530418724,,214461.6476506225,216504.18617739007,162403.33064875464,158639.76861617283,,139181.19828893585,,139709.34319171807,281360.1975385041,110350.73120924347,161333.2307734447,,193499.1163763306,321723.4698984272,165398.19687031026,,,155725.0515235039,279547.780711173,,,298346.2074461527,,576556.1499329908,206029.6962196986,132981.84584879098,,150890.83646340956,433513.27203496936,198445.3430211436,107633.1555068142,268807.06973057595,179462.47389479354,139677.96417221808,,603584.0852264409,202409.38640200565,369534.5521853192,160414.18796602174,,110425.45278571786,,370972.2561103175,274746.80199549464,199802.0512549932,359627.22545151896,268749.80564017565,209813.27280570404,275219.2941973345,405844.40799902886,,,591687.5045855842,131030.13814519269,122134.98343910494,334187.65153028874,426276.6182590966,179644.15825920808,82799.74434026521,312814.25204401574,118433.68107504332,237778.2369671032,104434.4387967066,198704.5123687845,,108060.12176755843,193145.95495388992,,,,138897.63896360432,,,107078.2896825506,,122104.11876592088,,,,,,,,
2001-09-30,188253.7792833099,,212385.26121598028,216223.51327611817,163068.0520544555,159210.96103041395,,139192.63336652005,,139564.9567765664,277903.9756519417,110944.32870906856,161601.5103122975,,193715.39501751133,322355.96896321274,162832.6547053355,,,154754.65630943349,279992.05817307526,,,298677.9623766138,318954.60018160485,571032.814453965,206211.97246940472,133313.11333021658,,151112.99803636846,432581.0867470238,200131.34716390003,107766.36414521352,268900.8261118024,179923.98422474624,139014.28298890698,,594470.1995932747,202747.14303931544,368870.36555946496,158635.78244952657,,110343.78505786178,,371936.29246932914,275275.0330810188,199983.7923602093,360617.6074123385,269450.1573284318,209670.76837580503,274152.32068603404,405838.2103920018,,,590903.8657746377,131383.54379922556,122465.6009316722,333753.7002163948,427199.3510838447,180509.78065272895,81914.62019789171,312591.50021523057,117484.94861534124,238416.50361899065,105038.3385167176,199389.3618518441,,108436.71895351767,192003.4243445457,,,,139370.7051232609,,,107528.4978723692,,122764.47908403218,,,,,,,,
2001-10-31,188344.01712210415,,210515.7257423451,215828.13097824503,163658.92508486673,159720.0623214991,,139175.65829445177,,139671.90684625696,275006.59189195,111359.8205883586,162108.95254546922,,193707.35042351295,322788.83518619207,160548.89064588,,,153961.00965434697,279864.22402819706,,,298829.8018181287,322364.12877948495,565201.9836592335,206380.2292638216,133540.29906851394,,152406.6345439803,431467.2809747143,201720.4351730824,108014.79824257156,267639.506307832,180339.9173103709,138996.14747801537,,584608.8177951396,203031.0129303016,368832.56203385466,156458.12323940257,,110328.64681589254,,372809.4280826223,275256.24641375424,200320.24358683405,361347.29687624186,271243.74876693165,209603.30469201927,272734.7623646609,405645.1287355786,,,589647.8938050134,131868.6654106248,122460.18063960611,332990.03213347564,427398.6074756969,181489.5863205577,81615.82381131132,311817.1221337836,116179.0698591196,239222.67020259096,105502.4220228443,198841.6623787156,,108853.94482693129,190849.91647156805,,,,140227.96860430765,,,108206.26144276834,,123566.95105984436,,,,,,,,
