zip_code,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31
78739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3384.9103965074737,3442.044270809725,3565.5296935894658,3589.8300544380245,3627.420089094801,3625.345710853693,3626.3605380171703,3557.3703328534184,3532.6744045067153,,3210.222222222222
78748,1128.2315610590624,1136.914111508627,1146.5730224295212,1149.1193320428686,1149.187263109852,1144.1692718681365,1150.5852898896005,1148.3567346641596,1147.7066181885914,1139.1621797078478,1137.693919586255,1152.660779021737,1167.7765957075114,1184.9141899172494,1174.304686326741,1172.665720864989,1173.0738034676633,1186.2824138366589,1198.446575123026,1201.1685665381835,1195.5714047509878,1177.5506189798853,1173.2590278044574,1176.1948753410798,1188.062518192549,1195.0179261694454,1211.8363590468664,1216.7806333793465,1225.108710588113,1218.0034787861896,1200.042347129878,1180.7164549314011,1161.4062680883624,1171.734472466313,1181.1212207265014,1190.0625831223458,1188.9185069695945,1191.5881563351875,1201.4112266685192,1216.3064753860156,1231.9333172340728,1246.0141603335671,1241.9711275361603,1231.5593504931794,1234.6042104602784,1237.3694022821626,1251.9441037000795,1254.5001247026896,1270.1981046972735,1280.0493228281775,1288.6863985363116,1299.258141916484,1309.8893384495284,1318.6132979392266,1314.0874039080534,1301.5867190691456,1296.1377133913575,1289.3481115581744,1289.1672732776515,1294.79586961892,1302.9460803588886,1306.500568213268,1298.1752718532305,1302.8412071819225,1307.9995972154045,1320.3345815282007,1321.0648058783775,1321.944708246564,1321.6348342144377,1310.1311556333785,1309.975018433892,1312.1244851035865,1335.6503724705306,1368.8891381296833,1398.379194997,1450.4690276947244,1510.4799423822642,1581.3395555428203,1620.5898248361639,1636.597911830366,1637.6711203937964,1641.155082807946,1631.8857345736114,1643.6915939873188,1643.2834945038715,1670.4469832579184,1681.8818605579377,1720.3336167590162,1732.5470915700118,1748.0655080112151,1745.0399428632184,1738.4168409994531,1711.7976593484666,1688.5885414056845,1665.5740740740741
78749,,,,,,,,,,1275.9832279611132,1294.2195795121186,1310.8542839315126,1320.0542467474256,1320.2936358945885,1323.251848191809,1318.96297436815,1318.090181725414,1321.0797265150445,1315.9287706067587,1306.9590678665954,1301.398244372647,1277.456322420596,1268.7152490402216,1273.3876583080016,1314.2911966010572,1344.5898909854072,1355.4538767476088,1338.0610977391775,1317.3171847819133,1310.6847329391999,1323.7328130111446,1331.9780028787345,1333.8460769216292,1325.0566179588798,1332.5951492843005,1335.2721499366132,1339.2445432209618,1337.8574890669158,1338.7483428815249,1356.9526147231265,1380.2061118164074,1390.7654227130813,1384.2230393830787,1373.595817229789,1384.2869565700234,1380.5744049915465,1379.3638307217504,1379.1499898310801,1402.5327479627329,1415.2768180751002,1431.0611821960363,1442.6021151683854,1468.337363168371,1468.5691868184533,1463.9255009465674,1452.7668838900315,1454.6092970274374,1453.654834892301,1441.9602017307825,1430.2503316774184,1436.0462118781304,1458.2736727390536,1462.547488767886,1455.7328111005497,1455.1652969891204,1472.8262296473295,1478.768430908777,1475.1591519350754,1451.6542553799704,1440.8052416900643,1443.3622556055554,1458.1287371706867,1487.4735838843542,1514.131452878889,1566.2912507070562,1616.731024349789,1666.7962554897335,1708.030550964977,1738.550466417218,1769.5369759107723,1775.9005622309273,1781.5814267148999,1778.3818074862259,1819.7384377093188,1831.4680932502868,1847.3892766777312,1842.2402348857174,1872.600461329744,1905.6057963450971,1915.7509067724811,1892.9735693853272,1858.6597506998407,1827.096319351203,1824.332867471849,1826.119047619048
78745,1065.8425148590006,1097.6105398317222,1119.407050520843,1131.1087593843474,1133.466659040627,1140.2344069758235,1126.2990021454252,1121.6703853798542,1122.6687279211822,1125.5230056756059,1127.969194393219,1124.5163588036335,1132.3758577166627,1143.7252434594745,1153.57083404057,1160.669830934323,1157.9826763269496,1168.124666972791,1172.1129528716906,1182.3648732451993,1165.2458360706594,1151.8339677262547,1142.4679752471045,1156.402153205347,1165.894024639102,1180.4579069779154,1186.0129974042688,1198.9036363918542,1193.7799186921015,1197.1433691833745,1185.3092599375755,1177.896721751329,1168.9944440378881,1178.7561415480804,1177.93316646446,1183.6742156949467,1179.9892693752804,1190.9045202723958,1200.321108967393,1216.3267632521422,1224.4476390070365,1226.5481438726458,1225.7126774278688,1226.0846996917753,1222.9734719107496,1218.8012445904171,1225.4415667042365,1240.7480437031718,1249.4245299082804,1259.3634028397382,1260.040818994068,1271.5746297514295,1277.244139185068,1291.5361340620175,1297.4684912773682,1293.3244283232748,1289.820015919539,1289.8699941791479,1300.1013569681375,1311.9171139557104,1345.4478160886842,1348.5862885022536,1340.583255524554,1314.2790608556786,1318.8836113917976,1324.712049255841,1321.3317555222884,1310.7862271087242,1308.6480325587465,1290.8339509822135,1295.780577454275,1310.2229613952748,1344.4278321874208,1386.3114493732705,1417.3926230718625,1474.7241191084436,1517.3908322942605,1583.0553840646694,1605.4570696875585,1618.476812983945,1625.1254047075784,1638.5481391686774,1648.6116402660614,1657.397955307977,1666.7243113576276,1691.979448198784,1705.1055295933775,1739.35979470857,1763.760482136011,1778.9176859137015,1766.4250470085321,1750.3689627555611,1728.4287280628046,1714.2353799886218,1703.7677790606042
78744,,,,,,,,,,,,,,,,1188.2684400307573,1189.8907827247929,1194.6717096018922,1196.8730090315835,1199.6214407238424,1216.4597350849585,1202.5917818600813,1210.5175229625106,1190.9239375927013,1207.9570154223582,1214.3120526551656,1230.03863984351,1236.2886691470078,1228.6219405694355,1226.1802991133925,1215.2337375807253,1223.2574259691705,1219.5645046958591,1223.7668242879818,1209.7085317371846,1215.0584220603907,1211.9632168444846,1234.7309537845556,1237.1489172194274,1247.0723869296687,1246.8443207109585,1261.0296681833822,1271.4076130491424,1277.7871155465334,1300.2343573055098,1309.262178265103,1313.972273506149,1297.0227301704765,1317.945541131091,1326.9861996741886,1332.7412971626154,1329.5903488692004,1345.4671380882444,1353.9247006914286,1342.8179880811006,1334.0619727496276,1336.5506148241384,1344.1356998156284,1358.091373089395,1366.3065447820322,1369.7500041541416,1369.9991306843974,1369.1910901362985,1358.291475749391,1354.1246785550509,1335.8366265032232,1341.3504164661604,1330.107452413824,1346.4031146454554,1344.2208746733165,1332.2691908057816,1328.466588868858,1333.2071170899605,1360.4725708043793,1389.947579973041,1441.18068899832,1512.1087006071743,1586.4707753444006,1628.7077778927521,1668.0829899232388,1676.429044601951,1686.530718577764,1660.1166873685556,1649.2634439686035,1644.7012114267277,1656.2736830831725,1702.98803695806,1762.2195442219397,1815.6324544615006,1863.2470631118485,1849.211904605153,1847.8744317206924,1808.5256125087965,1804.4221998213327,1791.1206349206348
78735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1348.109966791754,1363.2914615618179,1378.690357695407,1376.2875903793256,1376.2375830593471,1351.1012653502044,1368.7729332758279,1401.3621565519156,1434.281903378579,1439.1210661872135,1419.7426665267044,1399.641513186633,1397.4615507919875,1398.6999541971247,1418.0942928994125,1431.3442754502664,1445.1444826809166,1447.4781093974402,1456.266555490996,1470.9629190487115,1479.6676082297515,1489.4924509237233,1487.0754852789794,1490.5710015368984,1471.638254256915,1476.3800342039874,1470.8903582121698,1475.615948196083,1469.782977111866,1455.6676219060496,1440.5673728334327,1426.9681991086045,1435.931254821241,1437.6648374958365,1427.265397218408,1408.7249005881106,1403.3058689237603,1401.9283565945314,1409.4474667138306,1418.1532938941073,1446.6243826838754,1485.985392700773,1542.9719475826334,1619.7314024870022,1700.2701295620886,1776.132418861556,1801.1788924613725,1823.1827283567209,1821.071525422128,1813.5528866341613,1811.846470918728,1817.564748663519,1853.5034661308841,1873.891836736161,1904.337343730163,1933.4887200184894,1949.0674562444226,1934.8168349930506,1934.6838745362736,1918.7231733622602,1899.508020993124,1867.874292316608,1848.3317901234568
78704,1488.7382565631424,1480.9812933744406,1488.4855408246365,1491.0397879390616,1510.2674059855312,1520.8338609770417,1516.3224123996633,1497.9783745453235,1497.9509022518428,1507.932508197777,1551.7753821538095,1550.8611405793545,1565.3267681602515,1557.7876479867791,1576.28228632072,1577.5248160062054,1569.5995150611584,1564.2202070470826,1570.9437112851758,1573.0512060716974,1570.199304890658,1555.1051150673638,1543.3305532288728,1534.4483456184826,1554.757115535333,1565.9471555319344,1582.231124860464,1584.193953874946,1596.4277974877414,1587.7852720589829,1577.3342777395044,1570.9670625093893,1570.1165398205442,1560.5251625839267,1557.2827784141955,1565.6562808679998,1590.1864264896874,1612.1009252180932,1632.4862645083906,1646.4903521527165,1656.4645457909098,1669.4302988085792,1680.436161019148,1680.341076397611,1681.3144287759155,1682.8772818356954,1689.0302924784664,1687.373964623576,1688.1123074532281,1696.9707184677445,1716.3803837970192,1727.3272930011358,1741.5094364323072,1745.3402915059582,1753.3633663612447,1742.7562699537855,1732.395777110879,1718.72570809663,1736.8950148886622,1749.2995131939654,1770.7916179988172,1749.8466508167087,1725.1200598568014,1684.153809887552,1681.0090616998334,1674.0814895727406,1667.103871896574,1652.722367306732,1664.8326881109722,1689.8112534064755,1713.753662853165,1745.8157291844516,1775.3641480643246,1833.228136044305,1887.493250718948,1971.7345457818296,2051.328636873509,2118.82977722478,2156.843521303866,2173.3713687305635,2158.628131437713,2142.0918974551,2125.7350840998765,2146.889739163424,2176.804193744982,2218.6182730205537,2261.0753692156104,2286.233807525066,2314.562940675148,2315.714146936984,2328.1806482640395,2293.136403809941,2258.59003772219,2214.0958131185275,2201.724946591932
78741,,,,,,,,,,,,,,,1142.595253014816,1145.108188493522,1152.117444707165,1142.9191601151372,1174.4583045634445,1173.8017895139576,1175.6090251808912,1155.1918975089584,1146.8148791017109,1150.5553787466135,1158.764460769523,1171.8206499775529,1172.4884451022665,1176.92167331253,1183.874631993807,1195.1565642837647,1196.3075642409306,1184.3398652577284,1177.2634410746855,1167.7942727108118,1167.4859365308114,1163.6515128047515,1172.1968474812652,1180.8665468934732,1195.4747044948865,1211.7854141454234,1230.5343150848325,1243.6883139279585,1235.6621210528415,1230.865083088063,1228.3237012251748,1230.8296713070092,1226.5945660607838,1219.7033680230804,1229.253868786021,1245.8785153243045,1262.5855285942564,1271.639401614698,1275.1000107527686,1282.198924133368,1271.9827558691927,1271.009073445562,1256.7763029504445,1258.9669042228709,1261.0950926163189,1273.6135032439336,1287.8441352991424,1279.626599291909,1260.3581818943214,1245.6948370719947,1252.162978801718,1264.5593818543334,1263.657723246751,1248.2837040189518,1245.8781889833451,1246.5504768995895,1252.5843059440542,1244.920352059917,1254.2113939964595,1274.2278728424005,1309.1975498971472,1350.8168783135761,1405.7460582213794,1458.86123416043,1494.8491554126342,1510.0700467704328,1507.729640770073,1526.6123611873832,1526.4193210772225,1522.7898727453053,1518.6266531234937,1550.1864741677252,1591.0014323112396,1625.4919697815305,1648.3604377926956,1655.5890977936172,1644.4086127783319,1620.3548376934225,1603.7443703229858,1587.3954416900626,1573.8024431123704
78733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3103.006710105369,,2832.5
78746,,,,,,,,,,,,,,1295.5057478102187,1308.6256901574352,1337.8650310110174,1378.1130160342057,1316.3165562649506,1342.2177687305398,1325.0515850570869,1412.0834414958856,1373.2158410495056,1410.7228011593033,1413.1952161680151,1424.6904081494706,1421.9681958070678,1465.8831653719315,1482.7679199056015,1482.426164246397,1451.2708746866929,1424.892707335722,1438.6413962157972,1438.6411179122254,1466.0962750780413,1438.8765551482738,1435.3861127244622,1418.8350424420018,1439.305166442976,1481.7761234602924,1524.5711500019775,1550.4581995719816,1542.6610960206594,1541.7346494732128,1536.670656800583,1536.8522993923666,1532.2156467804464,1526.7346516535029,1548.447506626714,1559.6267693614075,1578.9586229023678,1578.8586397145166,1598.907279379365,1617.3582030032028,1637.3895140965783,1644.3194215807189,1636.620994179187,1624.5967145565726,1624.5886124489507,1619.259038494113,1633.0741814525604,1618.1186506446088,1618.8776767443399,1582.6650215983393,1588.5138989711895,1599.6795839877325,1614.066709423013,1606.8300712747625,1580.4028718428697,1570.1851809292548,1583.1094333215494,1607.8668921247775,1623.5345915711246,1640.3192406243454,1669.838917339134,1737.7140606575351,1806.7223277480173,1902.0794444349758,1986.323080083465,2055.055820107179,2062.9521718920905,2041.756969091206,2007.7356624401345,2021.31684678971,2016.1180312456768,2012.5555398695185,2002.465184753641,2034.4616683363172,2094.567156703328,2133.2192140127645,2116.553597892595,2092.703864943925,2055.7857235947445,2044.0829176876289,2058.674237059237,2077.6091269841268
